a=0xb4a6; output=0x4687
a=0xd97a; output=0x21b3
a=0x1f6c; output=0xdbc1
a=0xac94; output=0x4e99
a=0x5743; output=0xa3ea
a=0x0089; output=0xfaa4
a=0x4901; output=0xb22c
a=0xaab8; output=0x5075
a=0xe985; output=0x11a8
a=0x3ebe; output=0xbc6f
a=0x1aa8; output=0xe085
a=0x3e74; output=0xbcb9
a=0x39bd; output=0xc170
a=0xae80; output=0x4cad
a=0xf023; output=0x0b0a
a=0x45d4; output=0xb559
a=0x56b0; output=0xa47d
a=0xcec1; output=0x2c6c
a=0x933c; output=0x67f1
a=0x4e58; output=0xacd5
a=0xb158; output=0x49d5
a=0x1320; output=0xe80d
a=0x875b; output=0x73d2
a=0x6097; output=0x9a96
a=0x6daa; output=0x8d83
a=0x3abb; output=0xc072
a=0xcb94; output=0x2f99
a=0x7aa5; output=0x8088
a=0x787b; output=0x82b2
a=0xbb99; output=0x3f94
a=0xfe2c; output=0xfd01
a=0x690a; output=0x9223
a=0xbadc; output=0x4051
a=0x8b17; output=0x7016
a=0x868c; output=0x74a1
a=0x2160; output=0xd9cd
a=0x7c4c; output=0x7ee1
a=0xb66f; output=0x44be
a=0x43a8; output=0xb785
a=0x3d4d; output=0xbde0
a=0x2c54; output=0xced9
a=0x015b; output=0xf9d2
a=0x9187; output=0x69a6
a=0x6646; output=0x94e7
a=0xdcd0; output=0x1e5d
a=0x7b80; output=0x7fad
a=0x6809; output=0x9324
a=0xa92e; output=0x51ff
a=0x1b18; output=0xe015
a=0xa1e4; output=0x5949
a=0x9a6f; output=0x60be
a=0xb2d9; output=0x4854
a=0xbdf4; output=0x3d39
a=0xa275; output=0x58b8
a=0x7d9f; output=0x7d8e
a=0x60b1; output=0x9a7c
a=0x78de; output=0x824f
a=0x911d; output=0x6a10
a=0xb3ee; output=0x473f
a=0xfe4a; output=0xfce3
a=0x3252; output=0xc8db
a=0x82cb; output=0x7862
a=0x38a4; output=0xc289
a=0x283c; output=0xd2f1
a=0x7d02; output=0x7e2b
a=0x4dc8; output=0xad65
a=0x368a; output=0xc4a3
a=0x1563; output=0xe5ca
a=0xb28d; output=0x48a0
a=0x4556; output=0xb5d7
a=0x39fb; output=0xc132
a=0xd0f6; output=0x2a37
a=0x1266; output=0xe8c7
a=0x113d; output=0xe9f0
a=0x2dca; output=0xcd63
